Merchant,Column Name
"Amazon.com","Clothing & Household"
"Amazon Marketplace","Clothing & Household"
"Amazon Web Services","Misc"
"Apple iTunes","Misc"
"AT&T iPhone","AT&T Cell Phone"
"Comcast/Xfinity","Comcast/Xfinity Internet"
"Washington Gas","Washington Gas"
"Blue Mount Nursery","Clothing & Household"
"Cascades Center for Dentistry","Extra"
"Chase Subaru Car Payment","Car Loan"
"Chewy","Grocery"
"City of Vape","Vape Supplies"
"Costco","Grocery"
"Credit Card Payment","Credit Cards"
"CrowdStrike Salary",""
"CubeSmart","Storage Rental"
"Dominion Power","Dominion Power"
"Exxon Gas","Washington Gas"
"EZ Pass","Smart Tag"
"Fidelity Visa","Credit Cards"
"Fracture","Clothing & Household"
"Harmony Hill Farms","Grocery"
"Harris Teeter","Grocery"
"Homesite Renter's Insurance","Renter's Insurance"
"Hulu","Content Subscriptions"
"HP Instant Ink","Misc"
"IRS Tax Payment","IRS"
"Chase,Subaru Car Payment","Car Loan"
"Light In The Box","Clothing & Household"
"Loudoun County District Court","General Savings (Court Fines)"
"Loudoun Club 12 - PayPal","General Savings (Court Fines)"
"Loudoun Heights Rent","Loudoun Heights Rent"
"Deposit Check","Emergency Fund"
"Netflix","Content Subscriptions"
"Credit Card Payment",""
"Plex Pass","Content Subscriptions"
"Progressive Auto Insurance","Car Insurance"
"RedBox","Misc"
"SlingTV","Content Subscriptions"
"SnapSure Storage Rental Ins","Storage Rental"
"SoFi Personal Loan","Personal Loan"
"Spotify","Content Subscriptions"
"The Fermented Pig","Grocery"
"The UPS Store","Misc"
"Valencia - Farmers Market","Grocery"
"Venmo Payment","General Savings (Court Fines)"
"VueMastery.com","Extra"
"Walmart.com","Clothing & Household"
"Cash","Cash"