Bank Name, Name
"AMAZON.COM","Amazon.com"
"Amazon.com","Amazon.com"
"AMZN Mktp","Amazon Marketplace"
"Amazon web services","Amazon Web Services"
"APPLE.COM/BILL","Apple iTunes"
"BILL PAY AT&T","AT&T iPhone"
"BILL PAY COMCAST","Comcast/Xfinity"
"BILL PAY WASHINGTON GAS","Washington Gas"
"BLUE MOUNT NURSERY","Blue Mount Nursery"
"CASCADES CNTR FOR DENT","Cascades Center for Dentistry"
"CHEWY","Chewy"
"CITY OF VAPE","City of Vape"
"COSTCO WHSE","Costco"
"CROWDSTRIKE INC DIRECT DEP","CrowdStrike Salary"
"Direct Deposit from CROWDSTRIKE","CrowdStrike Salary"
"CUBESMART","CubeSmart"
"DOMINION POWER","Dominion Power"
"EXXONMOBIL","Exxon Gas"
"E Z PASS","EZ Pass"
"Fidelity Visa","Fidelity Visa"
"FRACTURE","Fracture"
"HARMONY HILL","Harmony Hill Farms"
"HARRIS TEETER","Harris Teeter"
"HOMESITE INS PREM","Homesite Renter's Insurance"
"HULU","Hulu"
"INSTANT INK","HP Instant Ink"
"IRS USATAXPYMT","IRS Tax Payment"
"JPMorgan Chase Ext Trnsfr","Chase Subaru Car Payment"
"LIGHTINTHEBOX","Light In The Box"
"LOUDOUN COUNTY GENERAL","Loudoun County District Court"
"LOUDOUNCLUB","Loudoun Club 12 - PayPal"
"Loudoun Heights","Loudoun Heights Rent"
"MOBILE DEPOSIT","Deposit Check"
"NETFLIX","Netflix"
"PAYMENT THANK YOU","Credit Card Payment"
"PLEXINCPASS","Plex Pass"
"PROG ADVANCED INS PREM","Progressive Auto Insurance"
"REDBOX","RedBox"
"SLING.COM","SlingTV"
"SNAPNSURE INSURANCE","SnapSure Storage Rental Ins"
"SOFI PAYMENTS","SoFi Personal Loan"
"Spotify","Spotify"
"THE FERMENTED PIG","The Fermented Pig"
"THE UPS STORE","The UPS Store"
"VALENCIA","Valencia - Farmers Market"
"VENMO PAYMENT","Venmo Payment"
"VUEMASTERY","VueMastery.com"
"WALMART.COM","Walmart.com"
"WITHDRAWAL MADE IN A BRANCH/STORE","Cash"